Counter,Start time,End time,Total time
86,1571239428849,1571239430063,1214
99,1571239432123,1571239433129,1006
8,1571239432593,1571239433149,556
74,1571239432723,1571239433150,427
100,1571239433132,1571239434028,896
9,1571239433614,1571239434063,449
10,1571239434624,1571239435072,448
11,1571239437636,1571239437978,342
87,1571239437870,1571239438997,1127
12,1571239438658,1571239439024,366
25,1571239438878,1571239440005,1127
26,1571239438909,1571239440010,1101
65,1571239443492,1571239444055,563
66,1571239444512,1571239444996,484
45,1571239448111,1571239448976,865
46,1571239449122,1571239450019,897
47,1571239449139,1571239450020,881
101,1571239449158,1571239450063,905
75,1571239450738,1571239450984,246
88,1571239450881,1571239451993,1112
0,1571239452493,1571239453037,544
13,1571239454676,1571239454991,315
89,1571239454893,1571239456004,1111
102,1571239455173,1571239456045,872
90,1571239455921,1571239457008,1087
67,1571239457528,1571239458051,523
48,1571239458154,1571239459099,945
14,1571239459694,1571239460008,314
27,1571239459931,1571239461080,1149
15,1571239460710,1571239461089,379
1,1571239461511,1571239462023,512
16,1571239461746,1571239462124,378
68,1571239462544,1571239463083,539
91,1571239463929,1571239465066,1137
28,1571239463955,1571239465099,1144
49,1571239473173,1571239474037,864
76,1571239481753,1571239482075,322
103,1571239491198,1571239492207,1009
